year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2015,2266,1906,Douglas,.8705768,.10984238,.015031533,.093820922,112.20073,171.42963,138.78117,13.429749,1.1554925,87,8,37,53,39,54,39,20,47,17
2016,2266,1906,Douglas,.84653705,.12283695,.01751565,.081107974,122.8379,210.26195,201.61554,25.299181,1.5561066,87,7,36,65,49,51,49,54,58,59
2017,2266,1906,Douglas,.78826123,.14434101,.12397297,.10360244,117.51263,226.55362,163.34949,26.154984,1.3214196,87,9,31,20,43,56,34,33,45,49
2012,3985,3033,Faribault,.60214019,.12311078,,.10012928,101.35226,151.75731,,69.98764,,87,42,27,,21,36,4,,52,
2013,3985,3033,Faribault,.6093694,.12311078,0,.10012928,98.928154,132.87895,237.37599,19.693449,2.157752,87,45,31,70.5,22,18,15,57,47,72
2014,3985,3033,Faribault,.68465596,.14398655,.020875774,.11279085,103.37242,145.85356,210.91867,19.006001,1.8865423,87,39,32,44,34,41,19,53,74,68
2015,3985,3033,Faribault,.72302127,.18590179,.13382867,.095752552,104.46276,139.21069,172.38298,19.100662,1.6001143,87,29,13,6,38,42,12,48,75,70
2016,3985,3033,Faribault,.71823657,.19415151,.12682281,.11628411,128.75644,203.46495,178.91472,36.785362,1.3246255,87,21,14,15,32,63,44,42,71,43
2017,3985,3033,Faribault,.68602729,.21962976,.17804959,.11628411,110.11956,216.44887,167.47029,50.771553,1.4170622,87,20,15,8,36,46,26,37,68,58
2012,1838,1276,Fillmore,.9571026,.15838957,,.32228103,106.1595,251.09607,,96.194954,,87,2,20,,3,42,49,,64,
2013,1838,1276,Fillmore,.95107567,.17103581,0,.32145506,106.55755,191.26224,294.52643,40.011475,2.5072949,87,5,17,70.5,4,33,60,78,74,79
2014,1838,1276,Fillmore,.94724053,.17103581,0,.38794312,95.187996,171.42767,243.17328,20.656742,2.0762153,87,9,23,76.5,4,21,42,70,76,73
2015,1838,1276,Fillmore,.66205329,.17066571,8.7746054e-16,.10138016,103.88097,163.35133,200.48392,20.643169,1.7186167,87,36,22,69,35,40,29,61,76,76
2016,1838,1276,Fillmore,.67625719,.22998069,2.7704120e-15,.10138015,129.56334,217.3992,247.46425,42.34766,1.8970386,87,29,12,78,42,65,52,67,77,70
2017,1838,1276,Fillmore,.59184873,.22282825,.028194837,.10138018,108.40228,258.23856,134.61763,76.252342,1.15465,87,38,14,64,46,44,44,20,79,29
2012,1742,1294,Freeborn,.45988014,.091437638,,.049813394,109.18814,218.58868,,49.210526,,87,69,47,,46,50,33,,39,
2013,1742,1294,Freeborn,.48109552,.091435701,0,.049813394,112.69024,182.52147,256.67181,18.700487,2.1391156,87,70,47,70.5,44,51,56,65,41,71
2014,1742,1294,Freeborn,.52535486,.14126481,.049813394,.031397678,119.89572,182.07771,202.4404,13.780965,1.6872159,87,69,35,29,77,64,51,49,48,58
2015,1742,1294,Freeborn,.49370843,.12016287,.028616205,.031397536,120.04621,179.65594,207.62488,14.230349,1.7068297,87,70,34,47,79,63,49,64,52,75
2016,1742,1294,Freeborn,.43133003,.10103893,.041520935,.037464794,123.93478,177.24078,169.42152,21.204792,1.5300366,87,79,44,52,77,54,17,38,50,57
2017,1742,1294,Freeborn,.41265282,.10748186,.13554898,.057442959,110.7626,207.92247,161.18736,20.583021,1.4257149,87,83,45,18,69,47,20,32,35,59
2012,2599,1829,Goodhue,.61270905,.093817502,,.093693942,126.58926,181.62634,,48.869431,,87,39,45,,25,70,10,,38,
2013,2599,1829,Goodhue,.5405407,.093817502,5.6969857e-19,.014204457,134.17369,162.95279,266.0936,21.797667,1.9498277,87,58,46,53,70,72,42,71,53,60
2014,2599,1829,Goodhue,.55892354,.093817502,1.1770170e-11,.057324059,124.88609,160.85593,239.61823,10.208864,1.7720128,87,57,51,60,61,70,31,67,19,62
2015,2599,1829,Goodhue,.52584106,.094655856,.03341129,.056505866,128.75435,174.32761,214.44577,10.20509,1.5380216,87,62,45,42,60,72,43,67,22,66
2016,2599,1829,Goodhue,.49810734,.10204447,.10788309,.052824777,133.62796,175.33926,194.4053,13.697284,1.3651778,87,62,43,22,67,68,16,52,31,48
2017,2599,1829,Goodhue,.46844673,.11639874,.10155448,.054801345,135.75581,191.46935,203.21603,13.575091,1.3996018,87,66,40,25,73,73,9,59,25,57
2012,2266,1906,Grant,.46600994,0,,.10804661,93.563972,415.89246,,50.848385,,87,67,83.5,,17,13,77,,40,
2013,2266,1906,Grant,.51258922,0,0,.12240145,94.598648,201.50705,239.44838,19.543701,2.0924339,87,61,83.5,70.5,13,14,66,58,46,69
2014,2266,1906,Grant,.51162916,0,0,.18786408,86.775726,189.99602,214.32869,18.480742,1.9052391,87,71,83.5,76.5,9,6,59,56,71,69
2015,2266,1906,Grant,.53218502,0,.02484978,.19445123,91.125656,190.95493,138.43402,18.245872,1.2144012,87,58,82.5,48,7,14,57,19,73,24
2016,2266,1906,Grant,.59166193,0,.051770374,.22682607,69.31826,298.95251,133.51282,18.808443,1.1368425,87,43,82,46,5,2,76,8,44,19
2017,2266,1906,Grant,.66061127,0,0,.25059158,91.305237,534.28577,139.52776,17.780294,1.1547294,87,27,82,83,5,21,79,23,31,30
2012,75406,55279,Hennepin,.44584528,.28639627,,.019605579,219.38272,260.36658,,15.71614,,87,74,2,,67,87,54,,4,
2013,75406,55279,Hennepin,.47231957,.32258433,.11844537,.01348681,228.23485,263.23312,283.9649,13.316601,1.3124242,87,71,1,4,71,87,84,74,9,21
2014,75406,55279,Hennepin,.53181559,.37701541,.15113276,.020018391,227.89554,263.2066,281.95874,8.6207542,1.2913713,87,65,1,5,84,87,85,83,9,25
2015,75406,55279,Hennepin,.51818854,.36742294,.15972194,.030601857,231.0182,270.5231,290.70389,8.2248373,1.2961987,87,66,1,2,81,87,84,84,9,39
2016,75406,55279,Hennepin,.54293066,.39845628,.17689864,.036117427,244.03598,286.50934,301.41733,7.855689,1.2681655,87,51,1,4,79,87,74,77,6,37
2017,75406,55279,Hennepin,.56530887,.43109602,.20373362,.039913755,245.40953,283.9603,304.54449,7.8472943,1.2833381,87,47,1,3,81,87,56,77,4,47
2012,1838,1276,Houston,.78736264,.099134587,,.067206301,108.49612,192.36655,,41.720337,,87,14,42,,37,48,17,,31,
2013,1838,1276,Houston,.82836896,.099134587,0,.067150071,111.6987,159.20563,235.38225,11.741597,1.9742471,87,15,41,70.5,37,48,35,53,5,61
2014,1838,1276,Houston,.836963,.099134587,0,.089339964,105.26475,161.91591,249.10446,11.686271,2.1279299,87,18,48,76.5,46,47,32,72,31,76
