adj_supply_hr,adj_supply_any,year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_ccc,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,share_hr
0,1.0081204,2013,2266,1906,Douglas,.13698055,.12049124,108.37953,168.30861,202.46678,14.834942,1.6959232,87,4,29,70.5,14,37,47,40,19,51,0
.010267626,1.0046021,2014,2266,1906,Douglas,.1344023,.10999504,110.80444,169.0584,144.59427,13.470632,1.2218937,87,3,36,49,35,52,39,19,45,22,.010220591
.015031533,.8705768,2015,2266,1906,Douglas,.10984238,.093820922,112.20073,171.42963,138.78117,13.429749,1.1554925,87,8,37,53,39,54,39,20,47,17,.017266177
.01751565,.84653705,2016,2266,1906,Douglas,.12283695,.081107974,122.8379,210.26195,201.61554,25.299181,1.5561066,87,7,36,65,49,51,49,54,58,59,.020690942
.12397297,.78826123,2017,2266,1906,Douglas,.14434101,.10360244,117.51263,226.55362,163.34949,26.154984,1.3214196,87,9,31,20,43,56,34,33,45,49,.15727398
.10335349,.68932438,2018,2266,1906,Douglas,.12581925,.058942165,129.41182,184.58745,185.10089,12.894831,1.4132411,87,15,35,19,65,63,27,61,43,72,.14993447
,.60214019,2012,3985,3033,Faribault,.12311078,.10012928,101.35226,151.75731,,69.98764,,87,42,27,,21,36,4,,52,,
0,.6093694,2013,3985,3033,Faribault,.12311078,.10012928,98.928154,132.87895,237.37599,19.693449,2.157752,87,45,31,70.5,22,18,15,57,47,72,0
.020875774,.68465596,2014,3985,3033,Faribault,.14398655,.11279085,103.37242,145.85356,210.91867,19.006001,1.8865423,87,39,32,44,34,41,19,53,74,68,.030490898
.13382867,.72302127,2015,3985,3033,Faribault,.18590179,.095752552,104.46276,139.21069,172.38298,19.100662,1.6001143,87,29,13,6,38,42,12,48,75,70,.18509644
.12682281,.71823657,2016,3985,3033,Faribault,.19415151,.11628411,128.75644,203.46495,178.91472,36.785362,1.3246255,87,21,14,15,32,63,44,42,71,43,.17657527
.17804959,.68602729,2017,3985,3033,Faribault,.21962976,.11628411,110.11956,216.44887,167.47029,50.771553,1.4170622,87,20,15,8,36,46,26,37,68,58,.25953719
.086396046,.69456673,2018,3985,3033,Faribault,.11261907,.19961378,99.623802,156.21454,161.9706,18.116039,1.4262906,87,14,39,25,7,19,7,44,70,73,.1243884
,.9571026,2012,1838,1276,Fillmore,.15838957,.32228103,106.1595,251.09607,,96.194954,,87,2,20,,3,42,49,,64,,
0,.95107567,2013,1838,1276,Fillmore,.17103581,.32145506,106.55755,191.26224,294.52643,40.011475,2.5072949,87,5,17,70.5,4,33,60,78,74,79,0
0,.94724053,2014,1838,1276,Fillmore,.17103581,.38794312,95.187996,171.42767,243.17328,20.656742,2.0762153,87,9,23,76.5,4,21,42,70,76,73,0
8.7746054e-16,.66205329,2015,1838,1276,Fillmore,.17066571,.10138016,103.88097,163.35133,200.48392,20.643169,1.7186167,87,36,22,69,35,40,29,61,76,76,1.3253624e-15
