year,ED_region,county,Price,Capacity,ShareCCC,ShareFCC,SharePublic,ShareHighRated,ShareLowRated,t_underSA_cap,t_underSA_cap_pCCC,t_underSA_cap_FCC,t_underSA_cap_public,t_underSA_cap_HR,t_underSA_cap_pq12,region
2013,Westcentral,Wilkin,96.823631,9.1537418,0,.96428573,.035714287,.035714287,.96428573,256.30475,0,239.30476,17,17,239.30476,Greater MN
2013,Southwest,Pipestone,100.18941,10.562772,.025641026,.94871795,.025641026,.025641026,.97435898,411.94809,40.081425,351.86667,20,20,391.94809,Greater MN
2013,UpperMNvalley,Lac qui Parle,87.129059,10.390476,0,.90476191,.095238097,.095238097,.90476191,218.2,0,180.2,38,38,180.2,Greater MN
2013,Westcentral,Grant,90.778595,10.615714,0,.85000002,.15000001,.15000001,.85000002,212.31429,0,162.31429,50,50,162.31429,Greater MN
2013,UpperMNvalley,Big Stone,89.361305,9.8466663,0,.89999998,.1,.1,.89999998,196.93333,0,168.93333,28,28,168.93333,Greater MN
2013,Arrowhead,Cook,125.10838,10.665289,.11111111,.8888889,0,0,1,95.987602,22.687599,73.300003,0,0,95.987602,Greater MN
2013,Metro,Carver,166.58238,17.091375,.098591551,.89671361,.0046948357,.037558686,.96244133,3640.4631,1874.8773,1745.5857,20,725.71362,2914.7495,MSA
2013,Metro,Ramsey,167.8661,20.64864,.17912371,.80798972,.012886598,.083762884,.91623712,16023.345,9344.7627,5561.582,1117,5119.5156,10903.829,MSA
2013,Central,Wright,136.32832,11.862207,.031890661,.94988608,.018223235,.020501139,.97949886,5207.5088,1080.4802,3931.0286,196,328.67987,4878.8291,MSA
2013,Central,Sherburne,130.96074,12.937238,.046263345,.94661921,.0071174377,.010676157,.98932385,3635.3638,1043.697,2543.6667,48,180.67989,3454.6838,MSA
2013,Metro,Hennepin,186.07077,24.456629,.22749476,.76482904,.0076762037,.078855544,.92114443,35046.348,23893.123,10100.227,1053,9761.1133,25285.236,MSA
2013,Metro,Dakota,168.34639,17.064137,.10762332,.88789237,.0044843052,.044843048,.95515692,15221.21,7491.9199,7615.2905,114,3286.6338,11934.576,MSA
2013,Metro,Anoka,150.59642,15.364774,.096816979,.89920425,.00397878,.035809018,.96419096,11585.039,5160.7402,6144.2993,280,2495.0564,9089.9824,MSA
2013,EastCentral,Isanti,129.77612,17.063366,.13725491,.86274511,0,.019607844,.98039216,870.23163,472.09357,398.13809,0,69.425522,800.80615,MSA
2013,EastCentral,Chisago,133.78729,13.112633,.060344826,.93965518,0,.017241379,.98275864,1521.0654,481.84155,1039.2238,0,169.70683,1351.3585,MSA
2013,Metro,Washington,160.754,16.440504,.085828342,.90618765,.0079840319,.047904193,.95209581,8236.6924,3940.4124,4196.2798,100,2045.8596,6190.833,MSA
2013,Metro,Scott,162.55783,13.17243,.050314464,.94339621,.006289308,.014675053,.98532492,6283.2495,1874.3322,4308.917,100,629.17676,5654.0728,MSA
2014,Southern,Steele,105.98409,13.204404,.033112582,.92715234,.039735101,.052980132,.94701988,1993.865,438.62689,1378.238,177,383.62585,1610.2391,Greater MN
2014,Southcentral,Martin,90.042953,11.650384,.01369863,.9041096,.08219178,.08219178,.91780823,850.47803,79.406593,651.07141,120,120,730.47803,Greater MN
2014,Northwest,Red Lake,69.429337,20.235966,.043478262,.73913044,.2173913,.26086956,.73913044,465.42722,29.493879,162.93333,273,284.66666,180.76054,Greater MN
2014,NorthCentral,Todd,79.741898,11.433421,0,.85185188,.14814815,.14814815,.85185188,617.40479,0,441.40475,176,176,441.40475,Greater MN
2014,Southwest,Pipestone,92.157394,11.154832,.024390243,.87804878,.097560972,.097560972,.902439,457.34808,40.081425,337.26666,80,80,377.34808,Greater MN
2014,UpperMNvalley,Swift,89.593979,11.792655,.023255814,.88372093,.093023255,.11627907,.88372093,507.08414,49.912716,379.17142,78,127.91272,379.17142,Greater MN
2014,Southern,Mower,104.28017,12.980663,.038834952,.89320385,.067961164,.067961164,.93203884,1337.0083,344.48218,832.52618,160,160,1177.0083,Greater MN
