year,uni_nam,s_uni_nam_N_below_supply,s_uni_nam_N_above_cost,s_uni_nam_N_below_quality
2016,Cedar Mountain,.66666669,0,.76190478
2013,Cedar Mountain,.2857143,0,0
2012,Cedar Mountain,.2857143,0,
2020,Cedar Mountain,.23809524,0,.66666669
2019,Cedar Mountain,.23809524,0,.71428573
2017,Cedar Mountain,.23809524,.047619049,.76190478
2015,Cedar Mountain,.23809524,0,.33333334
2014,Cedar Mountain,.2857143,0,0
2016,Centennial,.2591362,.79734218,.8305648
2018,Centennial,.29900333,.75083059,.82392025
2017,Centennial,.27574751,.79401994,.82724255
2014,Centennial,.24252492,.7807309,.81395346
2019,Centennial,.34219268,.87707639,.77740866
2012,Centennial,.2358804,.91694355,
2013,Centennial,.27906978,.90365446,.76411963
2020,Centennial,.24916944,.98671097,.90033221
2015,Centennial,.24916944,.79401994,.82724255
2016,Central,.94814813,.022222223,0
2017,Central,.65185183,.0074074073,0
2015,Central,.91851854,.037037037,0
2019,Central,.94814813,0,.044444446
2012,Central,.91111112,.0074074073,
2018,Central,.94814813,0,0
2013,Central,.94814813,.0074074073,0
2020,Central,.94814813,.014814815,.044444446
2014,Central,.93333334,.0074074073,0
2018,Chatfield,.43137255,.039215688,.43137255
2019,Chatfield,.4509804,.019607844,.50980395
2016,Chatfield,.41176471,.039215688,.4509804
2013,Chatfield,.41176471,.078431375,0
2017,Chatfield,.4509804,.05882353,.41176471
2020,Chatfield,.47058824,.019607844,.41176471
2015,Chatfield,.37254903,.039215688,.49019608
2014,Chatfield,.39215687,.078431375,.50980395
2012,Chatfield,.41176471,.078431375,
2016,Chisago Lakes,.73584908,.028301887,.35849056
2015,Chisago Lakes,.68867922,.028301887,.38207546
2014,Chisago Lakes,.6745283,.014150944,.39622641
2012,Chisago Lakes,.73113209,.2264151,
2019,Chisago Lakes,.6981132,.29245284,.2971698
2018,Chisago Lakes,.6745283,.16509435,.3726415
2020,Chisago Lakes,.73584908,.27830189,.28301886
2013,Chisago Lakes,.74056602,.16981132,.28301886
2017,Chisago Lakes,.7264151,.042452831,.33962265
2019,Chisholm,1,0,0
2016,Chisholm,1,0,.41860464
2012,Chisholm,1,0,
2018,Chisholm,1,0,0
2020,Chisholm,1,0,0
2013,Chisholm,1,0,.86046511
2017,Chisholm,1,0,.60465115
2014,Chisholm,.22093023,0,.86046511
2015,Chisholm,.61627907,0,.8488372
2016,Chokio-Alberta,.60000002,0,.40000001
2019,Chokio-Alberta,.60000002,0,.40000001
2015,Chokio-Alberta,.40000001,0,.40000001
2012,Chokio-Alberta,1,0,
2020,Chokio-Alberta,.60000002,0,.40000001
2014,Chokio-Alberta,.40000001,.1,.40000001
2017,Chokio-Alberta,.60000002,0,.40000001
2018,Chokio-Alberta,.60000002,0,.40000001
2013,Chokio-Alberta,.60000002,.1,0
2013,Clearbrook-Gonvick,1,0,.55172414
2018,Clearbrook-Gonvick,1,0,.13793103
2017,Clearbrook-Gonvick,1,0,0
2014,Clearbrook-Gonvick,.96551722,0,.55172414
2020,Clearbrook-Gonvick,.89655173,0,0
2012,Clearbrook-Gonvick,1,0,
2016,Clearbrook-Gonvick,1,0,.41379312
2019,Clearbrook-Gonvick,.89655173,0,.51724136
2015,Clearbrook-Gonvick,.79310346,0,.51724136
2012,Cleveland,.36842105,0,
2015,Cleveland,.42105263,0,.52631581
2020,Cleveland,.36842105,0,.52631581
2016,Cleveland,.47368422,0,.47368422
2018,Cleveland,.52631581,0,.52631581
2013,Cleveland,.57894737,0,0
2014,Cleveland,.52631581,0,.52631581
2017,Cleveland,.52631581,0,.52631581
2019,Cleveland,.52631581,0,.47368422
2017,Climax-Shelly,.66666669,0,.33333334
2016,Climax-Shelly,.66666669,0,.33333334
2015,Climax-Shelly,.66666669,0,.33333334
2018,Climax-Shelly,.66666669,0,.33333334
2014,Climax-Shelly,.66666669,0,.33333334
2019,Climax-Shelly,.66666669,0,.33333334
2012,Climax-Shelly,.77777779,.11111111,
2013,Climax-Shelly,.77777779,0,0
2020,Climax-Shelly,.66666669,0,.33333334
2013,Clinton-Graceville-Beardsley,.5,0,.26923078
2020,Clinton-Graceville-Beardsley,.5,0,.07692308
2019,Clinton-Graceville-Beardsley,.5,0,.34615386
2017,Clinton-Graceville-Beardsley,.57692307,0,.26923078
2014,Clinton-Graceville-Beardsley,.5,0,.26923078
2012,Clinton-Graceville-Beardsley,.5,0,
2018,Clinton-Graceville-Beardsley,.5,0,.26923078
2015,Clinton-Graceville-Beardsley,.57692307,0,.26923078
2016,Clinton-Graceville-Beardsley,.57692307,0,.26923078
2015,Cloquet,.24117647,0,.74705881
2016,Cloquet,.28823531,.029411765,.82941175
2014,Cloquet,.21764706,0,.74705881
2018,Cloquet,.17647059,0,.84117645
2013,Cloquet,.22352941,0,.40588236
2017,Cloquet,.19411765,.076470591,.84705883
2012,Cloquet,.53529412,0,
2019,Cloquet,.2,0,.84117645
2020,Cloquet,.21764706,0,.84705883
2020,Columbia Heights,.9922179,1,.49805447
2016,Columbia Heights,.97276264,1,.94552529
2019,Columbia Heights,.9844358,.93385214,.71595329
2018,Columbia Heights,.9766537,1,.77431905
2013,Columbia Heights,.9922179,.96108949,.60311282
2017,Columbia Heights,.86381322,1,.94163424
2015,Columbia Heights,.9844358,1,.81712061
2012,Columbia Heights,.98832685,1,
2014,Columbia Heights,.98832685,.95719844,.63813227
2015,Comfrey,.46153846,0,0
2017,Comfrey,.46153846,0,.53846157
2012,Comfrey,1,0,
2019,Comfrey,.46153846,0,0
2018,Comfrey,1,0,0
2020,Comfrey,.46153846,0,0
2016,Comfrey,1,0,0
2013,Comfrey,1,0,0
2014,Comfrey,1,0,0
2018,Cook County,.46875,.03125,.46875
2013,Cook County,.5,.125,0
2015,Cook County,.4375,.03125,.40625
2014,Cook County,.4375,.0625,.4375
2019,Cook County,.5,.15625,.4375
2016,Cook County,.4375,0,.4375
2012,Cook County,.5,.03125,
2017,Cook County,.46875,.03125,.46875
2020,Cook County,.46875,.21875,.4375
2019,Cromwell-Wright,.73333335,0,.26666668
2013,Cromwell-Wright,.93333334,0,0
2012,Cromwell-Wright,1,.06666667,
2016,Cromwell-Wright,.73333335,0,.26666668
2015,Cromwell-Wright,.73333335,0,.26666668
2017,Cromwell-Wright,.80000001,0,.26666668
2014,Cromwell-Wright,.73333335,0,.26666668
2020,Cromwell-Wright,.73333335,0,.26666668
2018,Cromwell-Wright,.73333335,0,.26666668
2015,Crookston,.16346154,0,.82692307
2014,Crookston,.17307693,0,.84615386
2019,Crookston,.20192307,.057692308,.79807693
2016,Crookston,.20192307,.057692308,.83653843
2012,Crookston,.17307693,.01923077,
2020,Crookston,.24038461,.057692308,.70192307
2018,Crookston,.20192307,.03846154,.83653843
2013,Crookston,.1923077,.009615385,.80769229
2017,Crookston,.20192307,0,.80769229
2019,Crosby-Ironton,.61842108,.039473683,0
2013,Crosby-Ironton,.60526317,0,.36842105
2018,Crosby-Ironton,.61842108,.039473683,0
2014,Crosby-Ironton,.59210527,.013157895,.32894737
2020,Crosby-Ironton,.61842108,.039473683,0
2016,Crosby-Ironton,.60526317,.013157895,.19736843
2012,Crosby-Ironton,.46052632,0,
2015,Crosby-Ironton,.59210527,.013157895,.32894737
2017,Crosby-Ironton,.64473683,0,.22368421
2019,Dassel-Cokato,.88,0,.104
2015,Dassel-Cokato,.88800001,0,0
2013,Dassel-Cokato,.97600001,0,0
2014,Dassel-Cokato,.96799999,.0080000004,.0080000004
2017,Dassel-Cokato,.86400002,0,.12800001
2020,Dassel-Cokato,.98400003,0,.056000002
2016,Dassel-Cokato,.88,.056000002,.14399999
2012,Dassel-Cokato,.97600001,0,
2018,Dassel-Cokato,.85600001,.016000001,.12800001
2020,Dawson-Boyd,1,0,0
2018,Dawson-Boyd,.23529412,0,0
2014,Dawson-Boyd,.2647059,.029411765,.5
2017,Dawson-Boyd,.97058821,.029411765,0
2012,Dawson-Boyd,.2647059,0,
2019,Dawson-Boyd,.97058821,0,0
2013,Dawson-Boyd,.2647059,0,.70588237
2015,Dawson-Boyd,.23529412,.029411765,0
2016,Dawson-Boyd,.23529412,.029411765,.7352941
2018,Deer River,.61363637,0,.47727272
