year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2012,39A,.56937802,.69617224,
2017,39A,.63397127,.59330142,.5119617
2018,39A,.61722487,.14593302,.53588516
2016,39A,.61961722,.54784691,.5334928
2015,39A,.58612442,.63636363,.53588516
2016,39B,.40816328,.80952382,.49659863
2012,39B,.46258503,.85034013,
2017,39B,.44897959,.80952382,.49319729
2014,39B,.41836736,.76530612,.50680274
2015,39B,.47278911,.8605442,.46938777
2018,39B,.42857143,.67687076,.50680274
2013,39B,.48299319,.82993197,.46938777
2016,3A,.67076921,.030769231,.12615384
2015,3A,.61846155,.027692307,.12307692
2017,3A,.85846156,.033846155,.25846153
2014,3A,.6553846,.033846155,.23384616
2012,3A,.80615383,.061538462,
2018,3A,.76923078,.021538461,.23076923
2013,3A,.63384616,.039999999,.16307692
2014,3B,.7877984,0,.37665781
2016,3B,.80106103,.021220159,.1724138
2012,3B,.74801064,.010610079,
2017,3B,.81167108,0,.18037136
2015,3B,.79840851,0,.16976127
2018,3B,.8143236,.0026525198,.068965517
2013,3B,.71618038,0,.074270554
2012,40A,.97647059,1,
2014,40A,.93071896,.99346405,.14901961
2016,40A,.8888889,.8261438,.58169937
2015,40A,.85359478,.99346405,.5281046
2013,40A,.96862745,1,.25490198
2017,40A,.89803922,.875817,.48235294
2018,40A,.83006537,.83790851,.64444447
2016,40B,.99820465,.94793534,.497307
2013,40B,.99820465,1,.36983842
2012,40B,.99820465,1,
2017,40B,1,.97307003,.35906643
2015,40B,1,1,.35906643
2018,40B,.99640936,.96409333,.6606822
2014,40B,.99820465,1,.26211849
2014,41A,.84467715,.82547992,.72774869
2015,41A,.83071554,1,.55148339
2018,41A,.93368238,1,.60383946
2016,41A,.89005238,1,.57068062
2012,41A,.76963353,.90052354,
2013,41A,.79406631,.83420593,.66841185
2017,41A,.85165793,.89877838,.55322862
2018,41B,.96982759,1,.44396552
2016,41B,.95905173,1,.7241379
